T,candidate_id,final_fidelity,error,elapsed_s
8.0,pw_rand_40_T8p0,0.21765246987342834,,0.7222189903259277
8.0,pw_rand_41_T8p0,0.16860519349575043,,1.0871427059173584
8.0,pw_rand_42_T8p0,0.39414095878601074,,0.7102010250091553
8.0,pw_rand_43_T8p0,0.259587824344635,,0.8219771385192871
8.0,pw_rand_44_T8p0,0.20548778772354126,,0.7697348594665527
8.0,pw_rand_45_T8p0,0.33206209540367126,,0.7760016918182373
8.0,pw_rand_46_T8p0,0.13599494099617004,,0.7525701522827148
8.0,pw_rand_47_T8p0,0.4641121029853821,,0.7819969654083252
10.0,alpha_0.45_T10p0,0.6076259613037109,,0.835378885269165
10.0,alpha_0.52_T10p0,0.6487374305725098,,0.8348727226257324
10.0,alpha_0.6_T10p0,0.6967350840568542,,0.8245630264282227
10.0,alpha_0.7_T10p0,0.7562998533248901,,1.2004170417785645
10.0,alpha_0.85_T10p0,0.8386422395706177,,0.8084838390350342
10.0,alpha_1.0_T10p0,0.9026690721511841,,0.831672191619873
10.0,alpha_1.04_T10p0,0.915160059928894,,0.8810627460479736
10.0,smooth_varY_-0.12_T10p0,0.3977360725402832,,0.7474009990692139
10.0,smooth_varY_-0.08_T10p0,0.396333783864975,,0.7231569290161133
10.0,smooth_varY_-0.04_T10p0,0.40077972412109375,,0.7358288764953613
10.0,smooth_varY_0.04_T10p0,0.4230603575706482,,0.747697114944458
10.0,smooth_varY_0.08_T10p0,0.4397581219673157,,0.7325928211212158
10.0,smooth_varY_0.12_T10p0,0.4599549174308777,,0.7466840744018555
10.0,smooth_varY_0.16_T10p0,0.4836731553077698,,0.7409138679504395
10.0,pw_rand_0_T10p0,0.4471389055252075,,1.1943542957305908
10.0,pw_rand_1_T10p0,0.2837437093257904,,0.8285729885101318
10.0,pw_rand_2_T10p0,0.48903292417526245,,0.7165770530700684
10.0,pw_rand_3_T10p0,0.10566894710063934,,0.805391788482666
10.0,pw_rand_4_T10p0,0.31414100527763367,,0.7649571895599365
10.0,pw_rand_5_T10p0,0.22278091311454773,,0.722679853439331
10.0,pw_rand_6_T10p0,0.45441001653671265,,0.7409508228302002
10.0,pw_rand_7_T10p0,0.23512151837348938,,0.7522659301757812
10.0,pw_rand_8_T10p0,0.14937913417816162,,0.7854328155517578
10.0,pw_rand_9_T10p0,0.5398156642913818,,0.8618459701538086
10.0,pw_rand_10_T10p0,0.41823965311050415,,0.7652950286865234
10.0,pw_rand_11_T10p0,0.5893568396568298,,0.806333065032959
10.0,pw_rand_12_T10p0,0.03163610398769379,,1.2108211517333984
10.0,pw_rand_13_T10p0,0.2926649749279022,,0.8136420249938965
10.0,pw_rand_14_T10p0,0.5676027536392212,,0.9083411693572998
10.0,pw_rand_15_T10p0,0.23671969771385193,,0.7552800178527832
10.0,pw_rand_16_T10p0,0.20230633020401,,0.791679859161377
10.0,pw_rand_17_T10p0,0.5348689556121826,,0.7226970195770264
10.0,pw_rand_18_T10p0,0.2498212307691574,,0.7929418087005615
10.0,pw_rand_19_T10p0,0.2503409683704376,,0.7523977756500244
10.0,pw_rand_20_T10p0,0.5388504266738892,,0.7711498737335205
10.0,pw_rand_21_T10p0,0.3685011863708496,,0.8166780471801758
10.0,pw_rand_22_T10p0,0.2823609709739685,,0.8120980262756348
10.0,pw_rand_23_T10p0,0.557432234287262,,0.7412779331207275
10.0,pw_rand_24_T10p0,0.24842418730258942,,0.7930200099945068
10.0,pw_rand_25_T10p0,0.3887348771095276,,0.7909400463104248
10.0,pw_rand_26_T10p0,0.4559726119041443,,1.3023219108581543
10.0,pw_rand_27_T10p0,0.10156817734241486,,0.764599084854126
10.0,pw_rand_28_T10p0,0.06428418308496475,,0.7460649013519287
10.0,pw_rand_29_T10p0,0.4349523186683655,,0.8223841190338135
10.0,pw_rand_30_T10p0,0.11570354551076889,,0.7282161712646484
10.0,pw_rand_31_T10p0,0.8836878538131714,,0.7760787010192871
10.0,pw_rand_32_T10p0,0.6594608426094055,,0.7481780052185059
10.0,pw_rand_33_T10p0,0.24692188203334808,,0.7665889263153076
10.0,pw_rand_34_T10p0,0.24107971787452698,,0.7179269790649414
10.0,pw_rand_35_T10p0,0.4987438917160034,,0.7346391677856445
10.0,pw_rand_36_T10p0,0.5159844160079956,,0.793550968170166
10.0,pw_rand_37_T10p0,0.22292618453502655,,0.7862329483032227
10.0,pw_rand_38_T10p0,0.24855908751487732,,0.753432035446167
10.0,pw_rand_39_T10p0,0.2659100890159607,,0.7266547679901123
10.0,pw_rand_40_T10p0,0.6135591268539429,,0.7893610000610352
10.0,pw_rand_41_T10p0,0.4149785041809082,,0.7737290859222412
10.0,pw_rand_42_T10p0,0.26447218656539917,,1.4036707878112793
10.0,pw_rand_43_T10p0,0.5138157606124878,,0.8623321056365967
10.0,pw_rand_44_T10p0,0.394218772649765,,0.8332560062408447
10.0,pw_rand_45_T10p0,0.32833704352378845,,0.778933048248291
10.0,pw_rand_46_T10p0,0.24893248081207275,,0.7259001731872559
10.0,pw_rand_47_T10p0,0.4000875651836395,,0.8511669635772705
12.0,alpha_0.45_T12p0,0.9115734100341797,,0.8801658153533936
12.0,alpha_0.52_T12p0,0.9145050048828125,,0.8673229217529297
12.0,alpha_0.6_T12p0,0.9149326086044312,,0.8554790019989014
12.0,alpha_0.7_T12p0,0.9105827808380127,,0.8952958583831787
12.0,alpha_0.85_T12p0,0.8924970030784607,,0.8143091201782227
12.0,alpha_1.0_T12p0,0.8591732978820801,,0.8224139213562012
12.0,alpha_1.04_T12p0,0.8476907014846802,,0.9059638977050781
12.0,smooth_varY_-0.12_T12p0,0.8698889017105103,,0.7695779800415039
12.0,smooth_varY_-0.08_T12p0,0.8620254397392273,,0.7874791622161865
12.0,smooth_varY_-0.04_T12p0,0.8530853390693665,,0.7799410820007324
12.0,smooth_varY_0.04_T12p0,0.835395097732544,,0.7632479667663574
12.0,smooth_varY_0.08_T12p0,0.8276864290237427,,1.4320240020751953
12.0,smooth_varY_0.12_T12p0,0.8210461735725403,,0.8030309677124023
12.0,smooth_varY_0.16_T12p0,0.8152587413787842,,0.7958931922912598
12.0,pw_rand_0_T12p0,0.09073615074157715,,0.81923508644104
12.0,pw_rand_1_T12p0,0.6387524008750916,,0.8204519748687744
12.0,pw_rand_2_T12p0,0.9043161869049072,,0.8195610046386719
12.0,pw_rand_3_T12p0,0.24805006384849548,,0.7722780704498291
12.0,pw_rand_4_T12p0,0.23528161644935608,,0.8196690082550049
12.0,pw_rand_5_T12p0,0.11700699478387833,,0.7875890731811523
12.0,pw_rand_6_T12p0,0.3407619595527649,,0.8215749263763428
12.0,pw_rand_7_T12p0,0.013695583678781986,,0.7829523086547852
12.0,pw_rand_8_T12p0,0.5228070020675659,,0.75913405418396
12.0,pw_rand_9_T12p0,0.3949143886566162,,0.79341721534729
12.0,pw_rand_10_T12p0,0.4731878638267517,,0.8246588706970215
12.0,pw_rand_11_T12p0,0.3634173274040222,,0.771557092666626
12.0,pw_rand_12_T12p0,0.13416093587875366,,0.7440288066864014
12.0,pw_rand_13_T12p0,0.635333776473999,,0.696897029876709
12.0,pw_rand_14_T12p0,0.3024163246154785,,0.7842602729797363
12.0,pw_rand_15_T12p0,0.2972893714904785,,0.8546721935272217
12.0,pw_rand_16_T12p0,0.24366611242294312,,1.604867696762085
12.0,pw_rand_17_T12p0,0.5690781474113464,,0.7518730163574219
12.0,pw_rand_18_T12p0,0.643170952796936,,0.8113458156585693
12.0,pw_rand_19_T12p0,0.6998283863067627,,0.8619651794433594
12.0,pw_rand_20_T12p0,0.7812875509262085,,0.8871181011199951
12.0,pw_rand_21_T12p0,0.2586876451969147,,0.8467128276824951
